"ID","IE","Inscription","Object Type","Inscription Type","Location","Low Date","High Date","Date","Date Span","Low Date Uncertain","High Date Uncertain","Notes"
"429","429","Statue Base for an Unknown Hearth-Initiate(?)","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"430","430","Statue Base for an Unknown Individual","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"431","431","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"432","432","Dedication by a Woman for her Family","Base","Dedication","","1","300","150.5","299","FALSE","FALSE",""
"688","433","Statue Base for an Unknown Hierophantis, Daughter of Perikles of Oion","Base","Dedication","","100","125","112.5","25","FALSE","FALSE",""
"689","433","Statue Base for Ti. Kl., the Hierophant, Kallikratidou Trikorysios","Base","Dedication","","100","125","112.5","25","FALSE","FALSE",""
"434","434","Statue Base Signed by Sotas and [-]","Building or Monument","Other/Uncertain","","105","145","125","40","TRUE","FALSE",""
"435","435","Statue Base for an Unknown Individual, Dedicated by the Eumolpidai, Lykomidai","Base","Dedication","Before the Telestrion","105","145","125","40","TRUE","FALSE",""
"436","436","Statue Base for an Unknown Individual","Base","Dedication","Before the Telestrion","105","145","125","40","TRUE","FALSE",""
"437","437","Statue Base(?) for an Unknown Individual","Base","Dedication","","105","145","125","40","TRUE","FALSE",""
"438","438","Statue Base for Ti. Kl. Attikos Herodes Kl. Attikou Marathonios, Son of Hellas","Base","Dedication","","110","120","115","10","FALSE","FALSE",""
"439","439","Statue Base for Agrius Saturninus","Base","Dedication","Before the Telestrion","117","127","122","10","FALSE","FALSE",""
"440","440","Dedicatory Base in Honor of Ael. Lysistrate","Base","Dedication","","117","127","122","10","FALSE","FALSE",""
"441","441","Statue Base for Athenaios Athenaiou Phlyeus, Hearth-Initiate","Base","Dedication","","114","125","119.5","11","FALSE","FALSE",""
"442","442","Statue Base for T. Vipsanius [-] Flavianos Kephisieus, Hearth-Initiate","Base","Dedication","","125","140","132.5","15","TRUE","FALSE",""
"443","443","Statue Base for a Son of Heroxenos of Marathon","Base","Dedication","","125","150","137.5","25","FALSE","FALSE",""
"444","444","Statue Base(?) for G. Memmios Sabeinos Peisandros","Base","Dedication","","123","133","128","10","FALSE","FALSE",""
"445","445","Statue Base for Thrasyllos of Kholleidai","Base","Dedication","","130","140","135","10","TRUE","FALSE",""
"446","446","Altar Dedicated to Hadrian","Base","Dedication","","127","137","132","10","FALSE","FALSE",""
"447","447","Altar Dedicated by the Akhaioi","Base","Dedication","Outer Courtyard","131","141","136","10","FALSE","FALSE",""
"448","448","Dedicatory Inscriptions on Two Triumphal Arches, Dedicated by the Panhellenes to the Two Goddesses and the Emperor","Base","Dedication","Outer Courtyard","135","138","136.5","3","TRUE","FALSE",""
